,org,person,count,keywords in emails,files
10,SportsLine.com Inc,Davis,8,"coupon code high10pc, glory planters crunch, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time","{'13448.txt', '711.txt', '38915.txt', '22279.txt', '27308.txt', '31814.txt', '23062.txt', '17483.txt'}"
11,ENA,Chris Germany,8,"storage true invoice, deals question central, billed new power, ces september probably, does reconciliation look, ces scheduling fee, invoice jan2000 xls, dad number, returning monday file, germany hou ect","{'8568.txt', '26760.txt', '22291.txt', '31219.txt', '18230.txt', '24303.txt', '23362.txt', '23565.txt'}"
12,Houston Astros,Jennifer Milligan,7,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big, houston 20 enron, tickets guest enron, astros announced implementation","{'23842.txt', '26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
13,Astros,Jennifer Milligan,7,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big, houston 20 enron, tickets guest enron, astros announced implementation","{'23842.txt', '26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
14,Astros Ticket Services,Jennifer Milligan,7,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big, houston 20 enron, tickets guest enron, astros announced implementation","{'23842.txt', '26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
15,Congress,David Grant,7,"subpoena response team, david grant 6239, receiving congress sec, work gathering documents, assistance questions","{'26817.txt', '18141.txt', '19257.txt', '20009.txt', '10261.txt', '21059.txt', '8185.txt'}"
16,SEC,David Grant,7,"subpoena response team, david grant 6239, receiving congress sec, work gathering documents, assistance questions","{'26817.txt', '18141.txt', '19257.txt', '20009.txt', '10261.txt', '21059.txt', '8185.txt'}"
17,Department of Justice,David Grant,7,"subpoena response team, david grant 6239, receiving congress sec, work gathering documents, assistance questions","{'26817.txt', '18141.txt', '19257.txt', '20009.txt', '10261.txt', '21059.txt', '8185.txt'}"
18,Broncos,Smith,7,"coupon code high10pc, glory planters crunch, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time","{'13448.txt', '711.txt', '38915.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
19,Broncos,Terrell Davis,7,"coupon code high10pc, glory planters crunch, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time","{'711.txt', '38915.txt', '22279.txt', '27308.txt', '31814.txt', '23062.txt', '17483.txt'}"
20,SportsLine.com Inc,Smith,7,"coupon code high10pc, glory planters crunch, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time","{'13448.txt', '711.txt', '38915.txt', '22279.txt', '31814.txt', '23062.txt', '17483.txt'}"
21,SportsLine.com Inc,Terrell Davis,7,"coupon code high10pc, glory planters crunch, fantasybasketball commissioner com, updates nfl reports, tab sportsline free, half price better, week use height, watters http football210, game indianapolis don, planters crunch time","{'711.txt', '38915.txt', '22279.txt', '27308.txt', '31814.txt', '23062.txt', '17483.txt'}"
22,Melissa Graves,Donald P Reinhardt,7,"production sitara deals, entered sitara hesco, hesco gathering oil, vance deals 348725, ticket created entered, pricing sitara ticket, dec pricing melissa, 377169 month dec, cokinos gov daniels, graves 11","{'30536.txt', '39661.txt', '17927.txt', '23334.txt', '20476.txt', '21900.txt', '9410.txt'}"
23,GE,Kay Mann,7,"austin facility agreement, changes document agreed, inserted recitals kw, kw capacity plant, ge complete, shoemaker mail kent, mann corp enron, pegasus ge documents, looks like, parker isabel isabel","{'4225.txt', '30654.txt', '32497.txt', '34959.txt', '6074.txt', '37322.txt', '37990.txt'}"
24,Kay Mann/Corp,Kay,7,"enron cc subject, vitro termination agreement, invoice status assignment, ge received, enron enron, originals does processed, attached file enron, hold document review, nimo john wants, transacton docs let","{'30654.txt', '16426.txt', '30856.txt', '17677.txt', '20750.txt', '9905.txt', '5806.txt'}"
25,Federal and State court,Jim Derrick,7,"enron interests litigation, documents used litigation, required preserve documents, transactions ljm ljm, destruction policies suspended","{'22362.txt', '27487.txt', '24578.txt', '4483.txt', '33460.txt', '33463.txt', '39656.txt'}"
26,LJM,Jim Derrick,7,"enron interests litigation, documents used litigation, required preserve documents, transactions ljm ljm, destruction policies suspended","{'22362.txt', '27487.txt', '24578.txt', '4483.txt', '33460.txt', '33463.txt', '39656.txt'}"
27,Company,Jim Derrick,7,"enron interests litigation, documents used litigation, required preserve documents, transactions ljm ljm, destruction policies suspended","{'22362.txt', '27487.txt', '24578.txt', '4483.txt', '33460.txt', '33463.txt', '39656.txt'}"
28,Federal,Jim Derrick,7,"enron interests litigation, documents used litigation, required preserve documents, transactions ljm ljm, destruction policies suspended","{'22362.txt', '27487.txt', '24578.txt', '4483.txt', '33460.txt', '33463.txt', '39656.txt'}"
29,ENA,Daren J Farmer,7,"adjust october forward, equistar buyback ticket, ena contact craig, equistar monthly activity, breslau did deals, 2000 production settlement, billing koch midstream, new deals sitara, volumes old tickets, 440093 let know","{'23718.txt', '9607.txt', '5066.txt', '30169.txt', '43.txt', '2892.txt', '18551.txt'}"
30,Body Shop,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
31,Body Shop,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
32,Body Shop,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
33,Body Shop,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
34,Body Shop,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
35,Body Shop,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
36,Body Shop,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
37,Body Shop,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
38,Body Shop,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
39,Body Shop,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
40,Body Shop,Jennifer Milligan,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
41,Body Shop,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
42,Body Shop,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
43,Houston Astros,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
44,Houston Astros,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
45,Houston Astros,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
46,Houston Astros,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
47,Houston Astros,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
48,Houston Astros,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
49,Houston Astros,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
50,Houston Astros,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
51,Houston Astros,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
52,Houston Astros,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
53,Houston Astros,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
54,Houston Astros,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
55,Astros,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
56,Astros,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
57,Astros,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
58,Astros,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
59,Astros,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
60,Astros,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
61,Astros,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
62,Astros,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
63,Astros,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
64,Astros,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
65,Astros,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
66,Astros,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
67,San Diego Padres,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
68,San Diego Padres,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
69,San Diego Padres,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
70,San Diego Padres,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
71,San Diego Padres,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
72,San Diego Padres,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
73,San Diego Padres,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
74,San Diego Padres,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
75,San Diego Padres,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
76,San Diego Padres,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
77,San Diego Padres,Jennifer Milligan,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
78,San Diego Padres,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
79,San Diego Padres,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
80,B2B,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
81,B2B,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
82,B2B,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
83,B2B,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
84,B2B,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
85,B2B,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
86,B2B,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
87,B2B,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
88,B2B,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
89,B2B,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
90,B2B,Jennifer Milligan,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
91,B2B,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
92,B2B,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
93,Astros Ticket Services,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
94,Astros Ticket Services,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
95,Astros Ticket Services,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
96,Astros Ticket Services,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
97,Astros Ticket Services,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
98,Astros Ticket Services,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
99,Astros Ticket Services,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
100,Astros Ticket Services,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
101,Astros Ticket Services,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
102,Astros Ticket Services,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
103,Astros Ticket Services,Kidsave,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
104,Astros Ticket Services,Tonya Hoppe,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
105,MFAH,Pappas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
106,MFAH,George Lucas,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
107,MFAH,Irvin Kershner,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
108,MFAH,Richard Marquand,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
109,MFAH,Jeff Poche,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
110,MFAH,Ana Eigler,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
111,MFAH,Hans Graf,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
112,MFAH,Leon Fleisher,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
113,MFAH,Barber    Medea,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
114,MFAH,Strauss   A Hero,6,"enron employees houston, astros ticket, park lunch cost, fitness week body, seybold clinic travels, body shop sponsor, activities big","{'26761.txt', '8749.txt', '33618.txt', '38399.txt', '7641.txt', '20308.txt'}"
